"facility","event_date","fall","longstay","bathroomentry","bathroomexit","entry","exit","bedentry","bedexit","total_events"
"FTC","2025-10-21",2,6,72,72,59,56,42,40,349
"FTC","2025-10-22",1,9,17,16,11,10,25,28,117
"FTC","2025-10-23",4,5,6,6,14,15,5,6,61
"FTC","2025-10-24",NULL,5,5,5,20,20,4,5,64
"FTC","2025-10-25",NULL,4,3,3,9,9,NULL,1,29
"FTC","2025-10-26",1,8,15,16,20,20,11,11,102
"FTC","2025-10-27",2,7,13,13,12,11,29,29,116
"FTC","2025-10-28",1,11,13,13,9,8,19,19,93
"FTC","2025-10-29",NULL,12,13,12,11,13,10,11,82
"FTC","2025-10-30",1,6,9,8,8,7,21,21,81
"FTC","2025-10-31",NULL,4,7,7,10,10,19,20,77
"FTC","2025-11-01",NULL,9,7,7,11,12,22,24,92
"FTC","2025-11-02",1,5,13,14,14,17,28,25,117
"FTC","2025-11-03",NULL,5,5,5,8,10,14,16,63
"FTC","2025-11-04",NULL,4,2,2,5,4,9,7,33
"FTC","2025-11-05",NULL,4,5,5,5,5,11,11,46
"FTC","2025-11-06",NULL,6,6,6,11,10,14,14,67
"FTC","2025-11-07",NULL,2,7,7,7,7,25,23,78
"FTC","2025-11-08",NULL,3,3,3,9,8,10,10,46
"FTC","2025-11-09",2,9,2,2,10,12,12,15,64
"FTC","2025-11-10",NULL,9,6,6,16,16,21,20,94
"FTC","2025-11-11",1,14,9,9,22,22,22,24,123
"FTC","2025-11-12",3,15,9,9,12,13,33,31,125
"FTC","2025-11-13",2,10,14,14,20,19,32,33,144
"FTC","2025-11-14",1,15,18,16,26,26,35,35,172
"FTC","2025-11-15",2,15,15,16,17,17,16,17,115
"FTC","2025-11-16",2,10,6,6,18,16,12,13,83
"FTC","2025-11-17",1,5,2,2,22,25,13,14,84
"FTC","2025-11-18",1,14,6,6,12,13,20,17,89
"FTC","2025-11-19",1,4,7,7,27,28,19,21,114
"FTC","2025-11-20",1,5,5,4,33,34,32,32,146
"FTC","2025-11-21",1,6,3,2,23,21,39,40,135
"FTC","2025-11-22",1,5,5,8,18,19,26,24,106
"FTC","2025-11-23",NULL,9,9,8,32,33,43,43,177
"FTC","2025-11-24",1,6,5,6,22,23,32,28,123
"FTC","2025-11-25",1,7,9,9,40,40,44,46,196
"FTC","2025-11-26",NULL,12,13,12,38,37,56,56,224
"FTC","2025-11-27",2,10,14,14,37,32,48,46,203
"FTC","2025-11-28",NULL,12,15,16,29,30,57,57,216
"FTC","2025-11-29",NULL,13,13,13,27,27,43,41,177
"FTC","2025-11-30",2,12,19,19,46,46,45,46,235
"FTC","2025-12-01",3,10,12,12,36,34,67,61,235
"FTC","2025-12-02",1,6,8,8,21,21,22,21,108
"FTC","2025-12-03",NULL,8,12,11,24,24,31,32,142
"FTC","2025-12-04",NULL,4,10,9,32,32,26,25,138
"FTC","2025-12-05",3,9,11,14,23,26,16,17,119
"FTC","2025-12-06",NULL,5,9,9,27,26,22,22,120
"FTC","2025-12-07",NULL,5,7,8,30,29,30,29,138
"FTC","2025-12-08",1,6,10,10,32,33,30,28,150
"FTC","2025-12-09",1,9,13,13,40,43,38,41,198
"FTC","2025-12-10",1,13,12,13,41,43,43,41,207
"FTC","2025-12-11",NULL,NULL,3,3,11,10,7,7,41
"FTC","2025-12-12",NULL,9,13,14,41,40,44,43,204
"FTC","2025-12-13",2,4,4,4,39,36,28,28,145
"FTC","2025-12-14",NULL,1,5,5,32,36,20,21,120
"FTC","2025-12-15",NULL,6,6,6,32,34,19,20,123
"FTC","2025-12-16",NULL,2,10,9,35,30,25,22,133
"FTC","2025-12-17",NULL,NULL,2,1,6,7,4,5,25
